,perPrice,room,hall,restroom,houseSize,elevator,decorate,houseAge,SingelHouse,cAa,东,东北,东南,东西,北,南,南北,西,西北,西南
66,7317 ,2,2,1,2,0,0,0,0,2.4,0,0,0,0,1,0,0,0,0,0
67,11250 ,5,3,3,4,0,0,1,1,1.4,0,0,1,0,0,0,0,0,0,0
68,6617 ,4,2,2,3,1,1,0,0,2.5,1,0,0,0,0,0,0,0,0,0
69,12982 ,3,2,2,2,1,1,0,0,2.6,0,0,0,0,0,1,0,0,0,0
70,13959 ,3,2,2,2,1,1,0,0,2.8,0,0,0,0,0,1,0,0,0,0
71,10585 ,3,2,1,2,1,1,0,0,3.5,0,0,0,0,1,0,0,0,0,0
72,6461 ,4,2,3,5,1,2,0,0,1.8,0,0,0,0,0,1,0,0,0,0
73,8983 ,3,2,2,3,1,1,1,0,2.7,0,0,0,0,0,0,1,0,0,0
74,11360 ,3,2,2,3,1,1,0,0,1.8,0,0,0,0,0,0,1,0,0,0
75,8648 ,3,2,1,3,1,0,1,1,1.5,0,0,0,0,0,1,0,0,0,0
76,10245 ,3,2,2,3,1,1,0,0,2.2,0,0,0,0,0,1,0,0,0,0
77,13039 ,4,2,3,4,1,1,0,0,1.8,0,0,0,0,0,1,0,0,0,0
78,6073 ,3,2,2,3,0,1,0,0,1.8,0,0,0,0,0,1,0,0,0,0
79,7514 ,2,2,1,2,0,1,2,0,2.1,0,0,0,0,0,0,0,1,0,0
80,10483 ,4,2,2,3,1,1,0,0,2.2,0,0,1,0,0,0,0,0,0,0
81,6250 ,2,1,1,2,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,0
82,7000 ,3,2,2,3,0,1,0,0,2.5,0,0,0,0,1,0,0,0,0,0
83,10000 ,3,2,1,2,1,0,1,0,2.5,0,0,0,0,0,1,0,0,0,0
84,8524 ,3,2,2,3,1,0,0,0,3.8,0,0,0,0,0,1,0,0,0,0
85,8500 ,5,2,4,5,0,2,0,0,1.5,0,0,0,0,0,0,1,0,0,0
86,4850 ,2,2,1,2,1,0,2,0,1.6,0,0,0,0,0,1,0,0,0,0
87,9670 ,2,2,1,2,1,0,1,0,2.3,0,0,0,0,0,1,0,0,0,0
