title,perPrice,totalPrice,ApartmentTpye,houseSize,startYear,toward,floor,address,community,detailUrl,label
" 精装房南北对流环境舒适,出行方便,全新一手房免佣喔,合适速来",9452元每平方米,110万元,3室2厅,38平方米,2015年建,南向,中层（共27层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357009520.htm?channel=l,2&psid=4_24_60",满五
 海逸电梯25楼 满五未用 业主诚心交易,15978元每平方米,147万元,3室2厅,92平方米,2015年建,南向,中层（共32层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_353762203.htm?channel=l,2&psid=4_25_60",优质教育
 一手免佣 中梁壹号院团购钜惠 洋房9字头起首付30万望山景别墅!,9009元每平方米,100万元,3室2厅,111平方米,2019年建,南向,中层（共27层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356361458.htm?channel=l,2&psid=4_26_60",满二
" 笋 笋 笋 范罗岗紫茶,小区中间,东南向,全新毛坯",11546元每平方米,112万元,3室2厅,97平方米,2016年建,东南向,中层（共32层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_352634090.htm?channel=l,2&psid=4_27_60",优质教育
" 甘化新村,中凯花园2楼,标准3房,2011年楼,实用90平方",9481元每平方米,76.8万元,3室2厅,81平方米,2011年建,南北向,低层（共6层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356534107.htm?channel=l,2&psid=4_28_60"
 天鹅湾电梯中层3房精装送家私家电小.学就在小区门口,10659元每平方米,129万元,3室2厅,02平方米,2011年建,南向,中层（共15层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357001757.htm?channel=l,2&psid=4_29_60",优质教育
 山顶别墅 5房带大花园,13937元每平方米,400万元,['null'],287平方米,['null'],南向,[],北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/10_354511864.htm?channel=l,2&psid=4_30_60",优质教育
" 十里方圆,雅致居,紧靠大雁山!",9048元每平方米,95万元,3室2厅,105平方米,['null'],东南向,中层（共30层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357350065.htm?channel=l,2&psid=4_31_60",满五
 成熟周边成熟周边成熟周边成熟周边成熟周,7273元每平方米,200万元,4室2厅,275平方米,2006年建,南向,高层（共6层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356928508.htm?channel=l,2&psid=4_32_60",优质教育
 市中.心位置大昌超市楼上 带豪华装修出售 不靠路,11711元每平方米,178万元,3室2厅,152平方米,2014年建,南北向,低层（共18层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_351602929.htm?channel=l,2&psid=4_33_60",优质教育
" 《20万首付,白沙华园》六楼新装3房,送新家具",4922元每平方米,53.5万元,3室2厅,7平方米,1991年建,南北向,高层（共8层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_342478984.htm?channel=l,2&psid=4_34_60",优质教育
" 仁寿路,电梯,实小,步行街,中心地段,生活便",8761元每平方米,79.8万元,3室2厅,09平方米,['null'],南向,高层（共11层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357183696.htm?channel=l,2&psid=4_35_60",满五
 罕有放盘 名仕华苑 楼、王 双阳台对流4房 居住一流,11538元每平方米,225万元,4室2厅,195平方米,2011年建,南北向,高层（共11层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_354921702.htm?channel=l,2&psid=4_36_60",满二优质教育
 灏景园旁 碧辉园望湖独栋别墅 任意加建 全江门别无二家!,12188元每平方米,390万元,['null'],320平方米,['null'],无向,[],北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/10_329062264.htm?channel=l,2&psid=4_37_60",满二
 笋 电梯洋房单价9XXX元 首付20万,9664元每平方米,91万元,2室2厅,16平方米,2014年建,南向,低层（共11层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_349909445.htm?channel=l,2&psid=4_38_60",满五优质教育
 南泉花园 舒适独栋别墅 拎包即住 无遮挡 花园300方 业主真诚出售,13077元每平方米,340万元,6室3厅,260平方米,2001年建,南北向,低层（共3层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356842699.htm?channel=l,2&psid=4_39_60",满二优质教育
 北新区汇悦城 骏景湾豪庭 107方中层 新装修3房 读丰乐小 满2年,13032元每平方米,140万元,3室2厅,43平方米,2012年建,西向,中层（共12层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_351854214.htm?channel=l,2&psid=4_40_60",满二优质教育
 怡清苑精装4房带套间!低首付住大屋!楼层适中!4113,6143元每平方米,86万元,4室2厅,140平方米,2001年建,南北向,中层（共8层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356187495.htm?channel=l,2&psid=4_41_60",满二优质教育
" 首期16万起 胜利桥旁 城芯配套,郊区环境",9444元每平方米,85万元,3室2厅,90平方米,2015年建,南向,中层（共31层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_354966386.htm?channel=l,2&psid=4_42_60",满二
" 一流景观,低密度花园,骏景湾品峰 126万 3室2厅2卫 豪",12411元每平方米,126万元,3室2厅,52平方米,2014年建,北向,高层（共33层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356568138.htm?channel=l,2&psid=4_43_60",优质教育
 (碧桂园官方)真实拍摄!135方三房!103万!,7630元每平方米,103万元,3室2厅,135平方米,2006年建,南北向,低层（共6层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_334765186.htm?channel=l,2&psid=4_44_60",满二优质教育
 滨江新区 阔景洋房电梯小区 华茵桂语 4房 范罗岗,13383元每平方米,178万元,4室2厅,133平方米,2014年建,南向,低层（共22层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357257227.htm?channel=l,2&psid=4_45_60",优质教育
" 农林实验,低层3楼,砖仔外墙,对流格局,正常过户",6023元每平方米,53万元,3室2厅,88平方米,2003年建,南北向,低层（共10层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_353167778.htm?channel=l,2&psid=4_46_60",优质教育
" 双龙帝豪小区,首付32万左右,家私家电",13049元每平方米,107万元,3室2厅,82平方米,2014年建,东北向,中层（共17层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357133268.htm?channel=l,2&psid=4_47_60",满五优质教育
" 业主缺钱寄卖 海伦心苑毛坯三房,单价1万左右,朝南户型,",10187元每平方米,92.5万元,3室2厅,8平方米,2016年建,南向,高层（共25层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_356741906.htm?channel=l,2&psid=4_48_60",满二优质教育
 河南翠园里全新带家私精装三房 楼下公园 舒服,6240元每平方米,46.8万元,3室2厅,75平方米,1991年建,无向,高层（共7层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_340929092.htm?channel=l,2&psid=4_49_60",满二
 凤山水岸誉城电梯房业主诚心出售,11778元每平方米,106万元,3室2厅,90平方米,2018年建,西北向,中层（共29层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_349768445.htm?channel=l,2&psid=4_50_60",满二优质教育
" (农林双朗学·位)精装三房!中高层望花园别墅,靓楼层靓景观",13226元每平方米,128万元,3室2厅,78平方米,2015年建,南向,高层（共27层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357229480.htm?channel=l,2&psid=4_51_60",满二优质教育
 美的.雅居乐公园天�Z 全新精装三房 特惠价,9375元每平方米,90万元,3室2厅,96平方米,2018年建,南北向,低层（共30层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357007534.htm?channel=l,2&psid=4_52_60"
 河南75.08平78.8万元南高层20层以上难找房子,10495元每平方米,78.8万元,2室2厅,08平方米,2017年建,南向,高层（共31层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_357441240.htm?channel=l,2&psid=4_53_60"
 美的集团打造!公园天誉!滨江核心区!奢华品质!找我团购!,12708元每平方米,122万元,3室2厅,96平方米,2018年建,南向,中层（共28层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_352596250.htm?channel=l,2&psid=4_54_60",满二
" JM:凤飞云双拼别墅精装5房,私家花园200�O不靠路",11922元每平方米,259.9万元,['null'],200平方米,['null'],南向,[],北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/10_355255470.htm?channel=l,2&psid=4_55_60"
 (杜绝虚假)滨江新区 珠江御景山庄!入读范小 3房2卫,11429元每平方米,112万元,3室2厅,98平方米,2015年建,北向,中层（共32层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_351598433.htm?channel=l,2&psid=4_56_60",满五唯一满二优质教育
 凤山水岸二期 正三房 电梯中层 满两年钥匙在手随时看房,11450元每平方米,102万元,3室2厅,08平方米,2015年建,北向,低层（共33层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_349636525.htm?channel=l,2&psid=4_57_60",优质教育
" 首付9.8万带全新装修,3房2厅,东南向,即可读景贤,随时看",11000元每平方米,102.3万元,3室2厅,93平方米,2014年建,东南向,中层（共30层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_355057431.htm?channel=l,2&psid=4_58_60",满五
 急售 保利二期 范小未用 全新毛坯 即买即装修,13864元每平方米,122万元,3室2厅,88平方米,2015年建,南向,高层（共33层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_332099770.htm?channel=l,2&psid=4_59_60",满二
" 保利大都会,南北对流四房,过2年,5楼,随时可以看房!",12435元每平方米,155万元,4室2厅,65平方米,2018年建,北向,低层（共33层）,北新区-北新区院士路72号,中天国际,"https://jm.esf.fang.com/chushou/3_350092165.htm?channel=l,2&psid=4_60_60",满二
" 星汇名庭,南北对流双阳台,望小区花园,少见3房2卫2阳!",16000元每平方米,168万元,3室2厅,105平方米,2014年建,南向,低层（共18层）,北新区-北环路南侧,越秀星汇名庭,"https://jm.esf.fang.com/chushou/3_355422410.htm?channel=l,2&psid=3_1_60",满二优质教育
 一手电梯房首付13万 专楼层任选 单价5字头 享价,5765元每平方米,49万元,3室2厅,85平方米,2017年建,南向,中层（共32层）,北新区-北环路南侧,越秀星汇名庭,"https://jm.esf.fang.com/chushou/3_355467990.htm?channel=l,2&psid=3_2_60",满五
 (杜绝虚假)正规3房2卫 超宽大厅南向望小区不靠路,11463元每平方米,123.8万元,3室2厅,108平方米,2015年建,厅南向,中层（共15层）,北新区-北环路南侧,越秀星汇名庭,"https://jm.esf.fang.com/chushou/3_355347603.htm?channel=l,2&psid=3_3_60",优质教育
" (杜绝虚假)首付16万 南北对流户型,随意改4房",8209元每平方米,110万元,4室2厅,134平方米,2014年建,南北向,低层（共15层）,北新区-北环路南侧,越秀星汇名庭,"https://jm.esf.fang.com/chushou/3_348033662.htm?channel=l,2&psid=3_4_60",满二优质教育
 小G推介 东汇城 复式公寓 买一层送一层,8873元每平方米,63万元,2室1厅,71平方米,2014年建,南向,中层（共21层）,北新区-北环路南侧,越秀星汇名庭,"https://jm.esf.fang.com/chushou/3_348270422.htm?channel=l,2&psid=3_5_60"
" 阳光金沙中高层,景观怡人,首付25万你值得拥有",11111元每平方米,90万元,3室2厅,81平方米,2016年建,南向,高层（共19层）,北新区-北环路南侧,越秀星汇名庭,"https://jm.esf.fang.com/chushou/3_357006523.htm?channel=l,2&psid=3_6_60",满二
" 大笋盘,一.分 .钟的决策 一辈子的寄托 幸福就在你一念",10422元每平方米,93.8万元,3室2厅,90平方米,2012年建,北向,中层（共18层）,北新区-北环路南侧,越秀星汇名庭,"https://jm.esf.fang.com/chushou/3_355176587.htm?channel=l,2&psid=3_7_60",优质教育
" 怡康华庭电梯房,刚需户型,空间好实用",11363元每平方米,133万元,3室2厅,05平方米,2008年建,南北向,中层（共8层）,北新区-北环路南侧,越秀星汇名庭,"https://jm.esf.fang.com/chushou/3_353245928.htm?channel=l,2&psid=3_8_60",满五优质教育
